,Main,Topics,Description,Codes,1
,Variables,Variables,"A variable allows you to store a value by assigning it to a name, which can be used to refer to the value later in the program.
For example, in game development, you would use a variable to store the points of the player.

To assign a variable, use one equals sign.
In given example we assigned string ""James"" to user variable.

Certain restrictions apply in regard to the characters that may be used in Python variable names. The only characters that are allowed are letters, numbers, and underscores. Also, they can't start with numbers.
Not following these rules results in errors.

Python is a case sensitive programming language. Thus, Lastname and lastname are two different variable names in Python.

You can use variables to perform corresponding operations, just as you did with numbers and strings.
As you can see, the variable stores its value throughout the program.

Variables can be reassigned as many times as you want, in order to change their value.
In Python, variables don't have specific types, so you can assign a string to a variable, and later assign an integer to the same variable.
However, it is not good practice. To avoid mistakes, try to avoid overwriting the same variable with different data types.","user = ""James""

x = 7
print(x)
print(x + 3)
print(x)

x = 123.456
print(x)
x = ""This is a string""
print(x + ""!"")",12
,Input,Input,"To get input from the user in Python, you can use the intuitively named input function.
For example, a game can ask for the user's name and age as input and use them in the game.

The input function prompts the user for input, and returns what they enter as a string (with the contents automatically escaped).
Even if the user enters a number as input, it is processed as a string.

The input statement needs to be followed by parentheses.
You can provide a string to input() between the parentheses, producing a prompt message.

The prompt message helps to clarify what input the program is asking for.

Let's assume we want to take the age of the user as input.
We know that the input() function returns a string.
To convert it to a number, we can use the int() function:

Similarly, in order to convert a number to a string, the str() function is used. This can be useful if you need to use a number in string concatenation.

You can convert to float using the float() function.

You can use input() multiple times to take multiple user inputs.
When input() function executes, program flow stops until a user enters some value.","x = input()
print(x)

name = input(""Enter your name: "")
print(""Hello, "" + name) 

age = int(input())
print(age) 

age = 42
print(""His age is "" + str(age))  

name = input()
age = input()
print(name + "" is "" + age) ",13
,In-Place Operators,In-Place Operators,"To get input from the user in Python, you can use the intuitively named input function.
For example, a game can ask for the user's name and age as input and use them in the game.

The input function prompts the user for input, and returns what they enter as a string (with the contents automatically escaped).
In-place operators allow you to write code like 'x = x + 3' more concisely, as 'x += 3'.
The same thing is possible with other operators such as -, *, / and % as well.

These operators can be used on types other than numbers, as well, such as strings.
In-place operators can be used for any numerical operation (+, -, *, /, %, **, //).

Walrus operator := allows you to assign values to variables within an expression, including variables that do not exist yet.
The walrus operator accomplishes these operations at once: print(num:=int(input()))
The walrus operator makes code more readable and can be useful in many situations.","x = 2
print(x)

x += 3
print(x)

x = ""spam""
print(x)

x += ""eggs""
print(x)

num = int(input())
print(num)

print(num:=int(input()))",14
,Booleans,Booleans True False == !== < >,"Another type in Python is the Boolean type. There are two Boolean values: True and False.
They can be created by comparing values, for instance by using the equal operator ==.
Be careful not to confuse assignment (one equals sign) with comparison (two equals signs).

Another comparison operator, the not equal operator (!=), evaluates to True if the items being compared aren't equal, and False if they are. Comparison operators are also called Relational operators.
Python also has operators that determine whether one number (float or integer) is greater than or smaller than another. These operators are > and < respectively.
Different numeric types can also be compared, for example, integer and float.

The greater than or equal to, and smaller than or equal to operators are >= and <=.
They are the same as the strict greater than and smaller than operators, except that they return True when comparing equal numbers.

Greater than and smaller than operators can also be used to compare strings lexicographically (the alphabetical order of words is based on the alphabetical order of their component letters).
The first characters from ""Annie"" and ""Andy"" (A and A) are compared. As they are equal, the second two characters are compared. Because they are also equal, the third two characters (n and d) are compared. And because n has greater alphabetical order value than d, ""Annie"" is greater than ""Andy"".","my_boolean = True
print(my_boolean)
print(2 == 3)
print(""hello"" == ""hello"")

print(1 != 1)
print(""eleven"" != ""seven"")
print(2 != 10)

print(7 > 5)
print(10 < 10)

print(7 <= 8)
True
print(9 >= 9.0)
True

print(""Annie"" > ""Andy"")
True",15
,if Statements,if Statements,"Another type in Python is the Boolean type. There are two Boolean values: True and False.
You can use if statements to run code if a certain condition holds.
If an expression evaluates to True, some statements are carried out. Otherwise, they aren't carried out.
An if statement looks like this:
if expression:
   statements

Python uses indentation (white space at the beginning of a line) to delimit blocks of code. Depending on program's logic, indentation can be mandatory. As you can see, the statements in the if should be indented.
The expression determines whether 10 is greater than 5. Since it is, the indented statement runs, and ""10 greater than 5"" is output. Then, the unindented statement, which is not part of the if statement, is run, and ""Program ended"" is displayed.
Notice the colon at the end of the expression in the if statement.

To perform more complex checks, if statements can be nested, one inside the other.
This means that the inner if statement is the statement part of the outer one. This is one way to see whether multiple conditions are satisfied.

Indentation is used to define the level of nesting.","if 10 > 5:
    print(""10 greater than 5"")
print(""Program ended"")

num = 12
if num > 5:
    print(""Bigger than 5"")
    if num <=47:
        print(""Between 5 and 47"")",16
,else Statements,else elif,"The if statement allows you to check a condition and run some statements, if the condition is True.
The else statement can be used to run some statements when the condition of the if statement is False.

As with if statements, the code inside the block should be indented.
Notice the colon after the else keyword.

Every if condition block can have only one else statement.
In order to make multiple checks, you can chain if and else statements.

For example, the following program checks and outputs the num variable's value as text:
num = 3
if num == 1:
    print(""One"")
else: 
    if num == 2:
        print(""Two"")
    else: 
        if num == 3: 
            print(""Three"")
        else: 
            print(""Something else"")

Indentation determines which if/else statements the code blocks belong to.

Multiple if/else statements make the code long and not very readable.
The elif (short for else if) statement is a shortcut to use when chaining if and else statements, making the code shorter.

The same example from the previous part can be rewritten using elif statements:
num = 3
if num == 1:
    print(""One"")
elif num == 2:
    print(""Two"")
elif num == 3: 
    print(""Three"")
else: 
    print(""Something else"")

As you can see in the example above, a series of if elif statements can have a final else block, which is called if none of the if or elif expressions is True.
The elif statement is equivalent to an else/if statement. It is used to make the code shorter, more readable, and avoid indentation increase.","num = 3
if num == 1:
    print(""One"")
else: 
    if num == 2:
        print(""Two"")
    else: 
        if num == 3: 
            print(""Three"")
        else: 
            print(""Something else"")

num = 3
if num == 1:
    print(""One"")
elif num == 2:
    print(""Two"")
elif num == 3: 
    print(""Three"")
else: 
    print(""Something else"")

x = 4
if x == 5:
    print(""Yes"")
else:
    print(""No"")",17
,Boolean Logic,Boolean Logic,"Boolean logic is used to make more complicated conditions for if statements that rely on more than one condition.
Python's Boolean operators are and, or, and not.
The and operator takes two arguments, and evaluates as True if, and only if, both of its arguments are True. Otherwise, it evaluates to False.
Boolean operators can be used in expression as many times as needed.

The or operator also takes two arguments. It evaluates to True if either (or both) of its arguments are True, and False if both arguments are False.
Besides values, you can also compare variables.

Unlike other operators we've seen so far, not only takes one argument, and inverts it.
The result of not True is False, and not False goes to True.

You can chain multiple conditional statements in an if statement using the Boolean operators.","print(1 == 1 and 2 == 2)
print(1 == 1 and 2 == 3)
print(1 != 1 and 2 == 2)
print(2 < 1 and 3 > 6)

print(1 == 1 or 2 == 3)
print(1 != 1 or 2 == 2)
print(2 < 1 or 3 >  6)

print(not 1 == 1)
print(not 1 > 7)",18
,Operator Precedence,Operator Precedence,"Operator precedence is a very important concept in programming. It is an extension of the mathematical idea of order of operations (multiplication being performed before addition, etc.) to include other operators, such as those in Boolean logic.

The below code shows that == has a higher precedence than or:
Python's order of operations is the same as that of normal mathematics: parentheses first, then exponentiation, then multiplication/division, and then addition/subtraction.","print(False == False or True)
print(False == (False or True))
print((False == False) or True)",19
,Chaining Multiple Conditions,Chaining Multiple Conditions,"You can chain multiple conditional statements in an if statement using the Boolean operators.

For example, we can check if the value of a grade is between 70 and 100:
You can use multiple and, or, not operators to chain multiple conditions together.","grade = 88
if(grade >= 70 and grade <= 100):
    print(""Passed!"")",20
,Lists,Lists,"Lists are used to store items.
A list is created using square brackets with commas separating items.
words = [""Hello"", ""world"", ""!""]

In the example above the words list contains three string items.
A certain item in the list can be accessed by using its index in square brackets.

For example:
words = [""Hello"", ""world"", ""!""]
print(words[0])
print(words[1])
print(words[2]) 

The first list item's index is 0, rather than 1, as might be expected.

Sometimes you need to create an empty list and populate it later during the program. For example, if you are creating a queue management program, the queue is going to be empty in the beginning and get populated with people data later.

An empty list is created with an empty pair of square brackets.
empty_list = []
print(empty_list)

In some code samples you might see a comma after the last item in the list. It's not mandatory, but perfectly valid.

Typically, a list will contain items of a single item type, but it is also possible to include several different types.
Lists can also be nested within other lists. 
number = 3
things = [""string"", 0, [1, 2, number], 4.56]
print(things[1])
print(things[2])
print(things[2][2])

Nested lists can be used to represent 2D grids, such as matrices.
m = [
    [1,2,3],
    [4,5,6]
    ]
    
print(m[1][2]) 

A matrix-like structure can be used in cases where you need to store data in row-column format. For example, when creating a ticketing program, the seat numbers can be stored in a matrix, with their corresponding rows and numbers.
The code above outputs the 3rd item of the 2nd row.

Some types, such as strings, can be indexed like lists.
Indexing strings behaves as though you are indexing a list containing each character in the string.

For example:
str = ""Hello world!""
print(str[6])

Space ("" "") is also a symbol and has an index.
Trying to access a non-existing index will produce an error.


","words = [""Hello"", ""world"", ""!""]

words = [""Hello"", ""world"", ""!""]
print(words[0])
print(words[1])
print(words[2]) 

empty_list = []
print(empty_list)
 
number = 3
things = [""string"", 0, [1, 2, number], 4.56]
print(things[1])
print(things[2])
print(things[2][2])

m = [
    [1,2,3],
    [4,5,6]
    ]
    
print(m[1][2]) 

str = ""Hello world!""
print(str[6])",21
,List Operations,List Operations,"The item at a certain index in a list can be reassigned.
nums = [7, 7, 7, 7, 7]
nums[2] = 5
print(nums)
You can replace the item with an item of a different type.

Lists can be added and multiplied in the same way as strings.
nums = [1, 2, 3]
print(nums + [4, 5, 6])
print(nums * 3)

Lists and strings are similar in many ways - strings can be thought of as lists of characters that can't be changed.
For example, the string ""Hello"" can be thought of as a list, where each character is an item in the list. The first item is ""H"", the second item is ""e"", and so on.

To check if an item is in a list, the in operator can be used.
It returns True if the item occurs one or more times in the list, and False if it doesn't.

words = [""spam"", ""egg"", ""spam"", ""sausage""]
print(""spam"" in words)
print(""egg"" in words)
print(""tomato"" in words)

The in operator is also used to determine whether or not a string is a substring of another string.

To check if an item is not in a list, you can use the not operator in one of the following ways:
nums = [1, 2, 3]
print(not 4 in nums)
print(4 not in nums)
print(not 3 in nums)
print(3 not in nums)","nums = [7, 7, 7, 7, 7]
nums[2] = 5
print(nums)

nums = [1, 2, 3]
print(nums + [4, 5, 6])
print(nums * 3)

words = [""spam"", ""egg"", ""spam"", ""sausage""]
print(""spam"" in words)
print(""egg"" in words)
print(""tomato"" in words)

nums = [1, 2, 3]
print(not 4 in nums)
print(4 not in nums)
print(not 3 in nums)
print(3 not in nums)",22
,List Functions,List Functions len insert,"The append method adds an item to the end of an existing list.
nums = [1, 2, 3]
nums.append(4)
print(nums)

The dot before append is there because it is a method of the list class. Methods will be explained in a later lesson.

To get the number of items in a list, you can use the len function.
Unlike the index of the items, len does not start with 0. So, the list above contains 5 items, meaning len will return 5.

len is written before the list it is being called on, without a dot.
nums = [1, 3, 5, 2, 4]
print(len(nums))

The insert method is similar to append, except that it allows you to insert a new item at any position in the list, as opposed to just at the end.
words = [""Python"", ""fun""]
index = 1
words.insert(index, ""is"")
print(words)

Elements, that are after the inserted item, are shifted to the right.

The index method finds the first occurrence of a list item and returns its index.
If the item isn't in the list, it raises a ValueError.
letters = ['p', 'q', 'r', 's', 'p', 'u']
print(letters.index('r'))
print(letters.index('p'))
print(letters.index('z'))

There are a few more useful functions and methods for lists.
max(list): Returns the list item with the maximum value
min(list): Returns the list item with minimum value
list.count(item): Returns a count of how many times an item occurs in a list
list.remove(item): Removes an object from a list
list.reverse(): Reverses items in a list.

For example, you can count how many 42s are there in the list using:
items.count(42)
where items is the name of our list.","nums = [1, 2, 3]
nums.append(4)
print(nums)

nums = [1, 3, 5, 2, 4]
print(len(nums))

words = [""Python"", ""fun""]
index = 1
words.insert(index, ""is"")
print(words)

letters = ['p', 'q', 'r', 's', 'p', 'u']
print(letters.index('r'))
print(letters.index('p'))
print(letters.index('z'))

items.count(42)",23
,while Loops,while Loops,"A while loop is used to repeat a block of code multiple times.
For example, let's say we need to process multiple user inputs, so that each time the user inputs something, the same block of code needs to execute.

Below is a while loop containing a variable that counts up from 1 to 5, at which point the loop terminates.

i = 1
while i <=5:
    print(i)
    i = i + 1

print(""Finished!"")

During each loop iteration, the i variable will get incremented by one, until it reaches 5.
So, the loop will execute the print statement 5 times.

The code in the body of a while loop is executed repeatedly. This is called iteration.

You can use multiple statements in the while loop.

For example, you can use an if statement to make decisions. This can be useful, if you are making a game and need to loop through a number of player actions and add or remove points of the player.

The code below uses an if/else statement inside a while loop to separate the even and odd numbers in the range of 1 to 10:
x = 1
while x < 10:
    if x%2 == 0:
        print(str(x) + "" is even"")
    else:
        print(str(x) + "" is odd"")

    x += 1 

str(x) is used to convert the number x to a string, so that it can be used for concatenation.

In console, you can stop the program's execution by using the Ctrl-C shortcut or by closing the program.

To end a while loop prematurely, the break statement can be used.
For example, we can break an infinite loop if some condition is met:
i = 0
while 1==1:
    print(i)
    i = i + 1
    if i >= 5:
        print(""Breaking"")
        break

print(""Finished"")

while True is a short and easy way to make an infinite loop.

An example use case of break:
An infinite while loop can be used to continuously take user input. For example, you are making a calculator and need to take numbers from the user to add and stop, when the user enters ""stop"".
In this case, the break statement can be used to end the infinite loop when the user input equals ""stop"".

Using the break statement outside of a loop causes an error.

Another statement that can be used within loops is continue.
Unlike break, continue jumps back to the top of the loop, rather than stopping it. Basically, the continue statement stops the current iteration and continues with the next one.

For example:
i = 0
while i<5:
  i += 1
  if i==3:
    print(""Skipping 3"")
    continue
  print(i)

An example use case of continue:
An airline ticketing system needs to calculate the total cost for all tickets purchased. The tickets for children under the age of 1 are free. We can use a while loop to iterate through the list of passengers and calculate the total cost of their tickets. Here, the continue statement can be used to skip the children.

Using the continue statement outside of a loop causes an error.






","i = 1
while i <=5:
    print(i)
    i = i + 1

print(""Finished!"")


x = 1
while x < 10:
    if x%2 == 0:
        print(str(x) + "" is even"")
    else:
        print(str(x) + "" is odd"")

    x += 1 

i = 0
while 1==1:
    print(i)
    i = i + 1
    if i >= 5:
        print(""Breaking"")
        break

print(""Finished"")

i = 0
while i<5:
  i += 1
  if i==3:
    print(""Skipping 3"")
    continue
  print(i)",24
,for Loops,for Loops,"The for loop is used to iterate over a given sequence, such as lists or strings.

The code below outputs each item in the list and adds an exclamation mark at the end:
words = [""hello"", ""world"", ""spam"", ""eggs""]
for word in words:
    print(word + ""!"")

In the code above, the word variable represents the corresponding item of the list in each iteration of the loop.
During the 1st iteration, word is equal to ""hello"", and during the 2nd iteration it's equal to ""world"", and so on.

The for loop can be used to iterate over strings.

For example:
str = ""testing for loops""
count = 0

for x in str:
   if(x == 't'):
    count += 1

print(count)

The code above defines a count variable, iterates over the string and calculates the count of 't' letters in it. During each iteration, the x variable represents the current letter of the string.
The count variable is incremented each time the letter 't' is found, thus, at the end of the loop it represents the number of 't' letters in the string.

Similar to while loops, the break and continue statements can be used in for loops, to stop the loop or jump to the next iteration.

Both, for and while loops can be used to execute a block of code for multiple times.

It is common to use the for loop when the number of iterations is fixed. For example, iterating over a fixed list of items in a shopping list.

The while loop is used in cases when the number of iterations is not known and depends on some calculations and conditions in the code block of the loop.
For example, ending the loop when the user enters a specific input in a calculator program.

Both, for and while loops can be used to achieve the same results, however, the for loop has cleaner and shorter syntax, making it a better choice in most cases.













","words = [""hello"", ""world"", ""spam"", ""eggs""]
for word in words:
    print(word + ""!"")

str = ""testing for loops""
count = 0

for x in str:
   if(x == 't'):
    count += 1

print(count)",25
,Range,Range,"The range() function returns a sequence of numbers.
By default, it starts from 0, increments by 1 and stops before the specified number.

The code below generates a list containing all of the integers, up to 10.
numbers = list(range(10))
print(numbers)

In order to output the range as a list, we need to explicitly convert it to a list, using the list() function.

If range is called with one argument, it produces an object with values from 0 to that argument.
If it is called with two arguments, it produces values from the first to the second.

For example:
numbers = list(range(3, 8))
print(numbers)
print(range(20) == range(0, 20))

Remember, the second argument is not included in the range, so range(3, 8) will not include the number 8.

range can have a third argument, which determines the interval of the sequence produced, also called the step.
numbers = list(range(5, 20, 2))
print(numbers)

We can also create list of decreasing numbers, using a negative number as the third argument, for example list(range(20, 5, -2)).

The for loop is commonly used to repeat some code a certain number of times. This is done by combining for loops with range objects.
for i in range(5):
    print(""hello!"")

You don't need to call list on the range object when it is used in a for loop, because it isn't being indexed, so a list isn't required.","numbers = list(range(10))
print(numbers)

numbers = list(range(3, 8))
print(numbers)
print(range(20) == range(0, 20))

numbers = list(range(5, 20, 2))
print(numbers)

for i in range(5):
    print(""hello!"")",26
,Reusing Code,Reusing Code,"Code reuse is a very important part of programming in any language. Increasing code size makes it harder to maintain.
For a large programming project to be successful, it is essential to abide by the Don't Repeat Yourself, or DRY, principle. We've already looked at one way of doing this: by using loops. In this module, we will explore two more: functions and modules.

Bad, repetitive code is said to abide by the WET principle, which stands for Write Everything Twice, or We Enjoy Typing.

You've already used functions in previous lessons.
Any statement that consists of a word followed by information in parentheses is a function call.
Here are some examples that you've already seen:
print(""Hello world!"")
range(2, 20)
str(12)
range(10, 20, 3)

The words in front of the parentheses are function names, and the comma-separated values inside the parentheses are function arguments.","print(""Hello world!"")
range(2, 20)
str(12)
range(10, 20, 3)",27
,Functions,Functions,"In addition to using pre-defined functions, you can create your own functions by using the def statement.
Here is an example of a function named my_func. It takes no arguments, and prints ""spam"" three times. It is defined, and then called. The statements in the function are executed only when the function is called.
def my_func():
    print(""spam"")
    print(""spam"")
    print(""spam"")

my_func()

The code block within every function starts with a colon (:) and is indented.
You must define functions before they are called, in the same way that you must assign variables before using them.
hello()

def hello():
    print(""Hello world!"")","def my_func():
    print(""spam"")
    print(""spam"")
    print(""spam"")

my_func()

hello()

def hello():
    print(""Hello world!"")",28
,Arguments,Arguments,"All the function definitions we've looked at so far have been functions of zero arguments, which are called with empty parentheses.
However, most functions take arguments.
The example below defines a function that takes one argument:

def print_with_exclamation(word):
   print(word + ""!"")
    
print_with_exclamation(""spam"")
print_with_exclamation(""eggs"")
print_with_exclamation(""python"")

As you can see, the argument is defined inside the parentheses.
You can also define functions with more than one argument; separate them with commas.

def print_sum_twice(x, y):
   print(x + y)
   print(x + y)

print_sum_twice(5, 8)

Function arguments can be used as variables inside the function definition. However, they cannot be referenced outside of the function's definition. This also applies to other variables created inside a function.

def function(variable):
    variable += 1
    print(variable)

function(7)
print(variable)

This code will throw an error because the variable is defined inside the function and can be referenced only there.

Technically, parameters are the variables in a function definition, and arguments are the values put into parameters when functions are called.

","def print_with_exclamation(word):
   print(word + ""!"")
    
print_with_exclamation(""spam"")
print_with_exclamation(""eggs"")
print_with_exclamation(""python"")


def print_sum_twice(x, y):
   print(x + y)
   print(x + y)

print_sum_twice(5, 8)


def function(variable):
    variable += 1
    print(variable)

function(7)
print(variable)",29
,Returning from Functions,Returning from Functions,"Certain functions, such as int or str, return a value that can be used later.
To do this for your defined functions, you can use the return statement.

For example:
def max(x, y):
    if x >=y:
        return x
    else:
        return y
        
print(max(4, 7))
z = max(8, 5)
print(z)

The return statement cannot be used outside of a function definition.

Once you return a value from a function, it immediately stops being executed. Any code after the return statement will never happen.

For example:
def add_numbers(x, y):
    total = x + y
    return total
    print(""This won't be printed"")

print(add_numbers(4, 5))","def max(x, y):
    if x >=y:
        return x
    else:
        return y
        
print(max(4, 7))
z = max(8, 5)
print(z)

def add_numbers(x, y):
    total = x + y
    return total
    print(""This won't be printed"")

print(add_numbers(4, 5))",30
,Comments,Comments,"Comments are annotations to code used to make it easier to understand. They don't affect how code is run.
In Python, a comment is created by inserting an octothorpe (otherwise known as a number sign or hash symbol: #). All text after it on that line is ignored.
# this is a comment
Python doesn't have general purpose multiline comments, as do programming languages such as C.

Docstrings (documentation strings) serve a similar purpose to comments, as they are designed to explain code. However, they are more specific and have a different syntax. They are created by putting a multiline string containing an explanation of the function below the function's first line.
    """"""
    Print a word with an
    exclamation mark following it.
    """"""
Unlike conventional comments, docstrings are retained throughout the runtime of the program. This allows the programmer to inspect these comments at run time."," # """"""",31
,Functions as Objects,Functions as Objects,"Comments are annotations to code used to make it easier to understand. They don't affect how code is run.
In Python, a comment is created by inserting an octothorpe (otherwise known as a number sign or hash symbol: #). All text after it on that line is ignored.
Although they are created differently from normal variables, functions are just like any other kind of value.
They can be assigned and reassigned to variables, and later referenced by those names.
def multiply(x, y):
    return x * y

a = 4
b = 7
operation = multiply
print(operation(a, b))

The example above assigned the function multiply to a variable operation. Now, the name operation can also be used to call the function.

Functions can also be used as arguments of other functions.
def add(x, y):
    return x + y

def do_twice(func, x, y):
    return func(func(x, y), func(x, y))

a = 5
b = 10

print(do_twice(add, a, b))

As you can see, the function do_twice takes a function as its argument and calls it in its body.","def multiply(x, y):
    return x * y

a = 4
b = 7
operation = multiply
print(operation(a, b))

def add(x, y):
    return x + y

def do_twice(func, x, y):
    return func(func(x, y), func(x, y))

a = 5
b = 10

print(do_twice(add, a, b))",33
,Modules,Modules,"Modules are pieces of code that other people have written to fulfill common tasks, such as generating random numbers, performing mathematical operations, etc.

The basic way to use a module is to add import module_name at the top of your code, and then using module_name.var to access functions and values with the name var in the module.
For example, the following example uses the random module to generate random numbers:

import random

for i in range(5):
    value = random.randint(1, 6)
    print(value)

The code uses the randint function defined in the random module to print 5 random numbers in the range 1 to 6.

There is another kind of import that can be used if you only need certain functions from a module.
These take the form from module_name import var, and then var can be used as if it were defined normally in your code.
For example, to import only the pi constant from the math module:

from math import pi

print(pi)

Use a comma separated list to import multiple objects. For example:
from math import pi, sqrt

* imports all objects from a module. For example: from math import *
This is generally discouraged, as it confuses variables in your code with variables in the external module.

Trying to import a module that isn't available causes an ImportError.

You can import a module or object under a different name using the as keyword. This is mainly used when a module or object has a long or confusing name.
from math import sqrt as square_root
print(square_root(100))","import random

for i in range(5):
    value = random.randint(1, 6)
    print(value)

from math import pi
print(pi)

from math import sqrt as square_root
print(square_root(100))",33
,The Standard Library & pip,The Standard Library & pip,"There are three main types of modules in Python, those you write yourself, those you install from external sources, and those that are preinstalled with Python.
The last type is called the standard library, and contains many useful modules. Some of the standard library's useful modules include string, re, datetime, math, random, os, multiprocessing, subprocess, socket, email, json, doctest, unittest, pdb, argparse and sys.

Tasks that can be done by the standard library include string parsing, data serialization, testing, debugging and manipulating dates, emails, command line arguments, and much more!

Python's extensive standard library is one of its main strengths as a language.

The Standard Library
Some of the modules in the standard library are written in Python, and some are written in C.
Most are available on all platforms, but some are Windows or Unix specific.

We won't cover all of the modules in the standard library; there are simply too many. The complete documentation for the standard library is available online at www.python.org.

Modules
Many third-party Python modules are stored on the Python Package Index (PyPI).
The best way to install these is using a program called pip. This comes installed by default with modern distributions of Python. If you don't have it, it is easy to install online. Once you have it, installing libraries from PyPI is easy. Look up the name of the library you want to install, go to the command line (for Windows it will be the Command Prompt), and enter pip install library_name. Once you've done this, import the library and use it in your code.

Using pip is the standard way of installing libraries on most operating systems, but some libraries have prebuilt binaries for Windows. These are normal executable files that let you install libraries with a GUI the same way you would install other programs.

It's important to enter pip commands at the command line, not the Python interpreter.",,34
,Exceptions,Exceptions,"You have already seen exceptions in previous code. They occur when something goes wrong, due to incorrect code or input. When an exception occurs, the program immediately stops.
The following code produces the ZeroDivisionError exception by trying to divide 7 by 0.

num1 = 7
num2 = 0
print(num1/num2)

Different exceptions are raised for different reasons.
Common exceptions:
ImportError: an import fails;
IndexError: a list is indexed with an out-of-range number;
NameError: an unknown variable is used;
SyntaxError: the code can't be parsed properly;
TypeError: a function is called on a value of an inappropriate type;
ValueError: a function is called on a value of the correct type, but with an inappropriate value.

Python has several other built-in exceptions, such as ZeroDivisionError and OSError. Third-party libraries also often define their own exceptions.",,35
